"ED5","ED50","ED95","GroupingProperty","Site","Species"
34.45,38.04,42,"11_AHYA_1","11","AHYA"
36.96,37.7,38.45,"11_AHYA_2","11","AHYA"
36.88,37.74,38.62,"11_AABR_1","11","AABR"
36.09,37.88,39.75,"11_AABR_2","11","AABR"
33.46,37.22,41.39,"11_ICRA_1","11","ICRA"
33.52,37.22,41.33,"11_ICRA_2","11","ICRA"
36.54,38.7,40.99,"11_ICRA_3","11","ICRA"
36.36,37.81,39.32,"11_ICRA_4","11","ICRA"
34.32,37.27,40.47,"11_ICRA_5","11","ICRA"
35.21,37.43,39.8,"11_ICRA_6","11","ICRA"
35.98,37.49,39.06,"11_ICRA_7","11","ICRA"
36.53,37.54,38.58,"11_ICRA_8","11","ICRA"
35.78,37.71,39.75,"11_AGLO_1","11","AGLO"
36.82,38.38,40.01,"11_AGLO_2","11","AGLO"
36.28,37.72,39.22,"11_AGLO_3","11","AGLO"
36.28,38.06,39.94,"11_AGLO_4","11","AGLO"
35.6,37.53,39.57,"11_AGLO_5","11","AGLO"
36.91,38.49,40.14,"11_AGLO_6","11","AGLO"
35.86,38.18,40.65,"11_AGLO_7","11","AGLO"
35.61,38.01,40.57,"11_AGLO_8","11","AGLO"
